"","days","Name","Past","Pres","Fcast"
"1",2019-01-01,"Abilene",15.341,15.872,17.552
"2",2019-01-01,"Albany",7.349,8.556,10.669
"3",2019-01-01,"Albuquerque",11.76,12.867,14.998
"4",2019-01-01,"Amarillo",12.107,12.85,13.899
"5",2019-01-01,"Atlanta",14.295,15.629,18.327
"6",2019-01-01,"Augusta",15.169,16.011,18.839
"7",2019-01-01,"Baltimore",10.814,11.614,13.666
"8",2019-01-01,"Bismarck",4.169,5.592,7.124
"9",2019-01-01,"Boise",9.238,10.371,12.713
"10",2019-01-01,"Boston",9.52,10.167,12.305
"11",2019-01-01,"CedarRapids",7.275,7.591,8.739
"12",2019-01-01,"Charlotte",13.75,14.296,16.997
"13",2019-01-01,"Chattanooga",13.136,14.569,17.223
"14",2019-01-01,"Cheyenne",7.519,8.132,10.124
"15",2019-01-01,"Chicago",8.874,8.824,10.806
"16",2019-01-01,"ColoradoSprings",8.666,9.615,11.773
"17",2019-01-01,"ColumbiaSC",15.07,16.074,19.167
"18",2019-01-01,"ColumbusOH",9.462,10.537,12.864
"19",2019-01-01,"Concord",6.897,7.654,10.379
"20",2019-01-01,"Concordia",9.554,10.247,11.815
"21",2019-01-01,"CorpusChristi",20.079,20.934,22.77
"22",2019-01-01,"DallasFortWorth",15.778,16.56,17.857
"23",2019-01-01,"Denver",9.069,9.46,10.009
"24",2019-01-01,"DesMoines",7.518,9.046,11.118
"25",2019-01-01,"Detroit",8.611,9.205,11.711
"26",2019-01-01,"DodgeCity",10.438,11.175,12.171
"27",2019-01-01,"Dubuque",6.526,7.212,8.45
"28",2019-01-01,"Duluth",3.367,4.679,7.235
"29",2019-01-01,"EauClaire",4.849,6.19,7.641
"30",2019-01-01,"Erie",8.451,9.319,12.018
"31",2019-01-01,"Eureka",13.276,13.585,14.476
"32",2019-01-01,"Evansville",10.893,11.769,13.408
"33",2019-01-01,"Fargo",3.904,5.222,6.808
"34",2019-01-01,"Flagstaff",7.56,8.572,10.51
"35",2019-01-01,"FortSmith",13.394,14.348,15.96
"36",2019-01-01,"Fresno",14.756,16.614,20.017
"37",2019-01-01,"GrandJunction",9.173,9.395,11.474
"38",2019-01-01,"GrandRapids",7.647,8.536,10.899
"39",2019-01-01,"GreenBay",5.592,6.879,9.559
"40",2019-01-01,"Havre",4.944,5.714,6.22
"41",2019-01-01,"Helena",5.782,7.268,9.487
"42",2019-01-01,"Houston",19.078,19.044,21.319
"43",2019-01-01,"Huron",5.388,6.524,7.577
"44",2019-01-01,"Indianapolis",9.38,10.344,12.379
"45",2019-01-01,"Jacksonville",19.004,18.932,21.331
"46",2019-01-01,"KansasCity",10.855,10.545,10.739
"47",2019-01-01,"LaCrosse",6.363,7.544,10.234
"48",2019-01-01,"Lander",6.45,7.005,8.646
"49",2019-01-01,"Lansing",7.742,8.351,11.445
"50",2019-01-01,"LosAngeles",18.744,19.543,20.692
"51",2019-01-01,"Louisville",11.265,12.674,14.987
"52",2019-01-01,"Lynchburg",11.726,12.022,14.004
"53",2019-01-01,"Madison",6.46,7.474,9.278
"54",2019-01-01,"Marquette",5.968,4.533,4.3
"55",2019-01-01,"Memphis",13.682,14.909,16.466
"56",2019-01-01,"Meridian",15.587,16.151,18.795
"57",2019-01-01,"MiddletownHarrisburg",9.988,10.666,12.722
"58",2019-01-01,"Milwaukee",6.979,8.324,10.506
"59",2019-01-01,"Minneapolis",5.519,7.114,9.621
"60",2019-01-01,"Mobile",17.624,18.218,21.337
"61",2019-01-01,"Moline",7.845,8.95,10.662
"62",2019-01-01,"Montgomery",15.966,16.778,19.106
"63",2019-01-01,"Nashville",12.738,13.634,15.703
"64",2019-01-01,"NewYork",10.842,11.577,13.226
"65",2019-01-01,"NorfolkVA",13.166,14.364,16.913
"66",2019-01-01,"NorthPlatte",7.536,8.349,9.41
"67",2019-01-01,"Oklahoma",12.732,13.692,14.119
"68",2019-01-01,"Omaha",8.336,9.079,10.166
"69",2019-01-01,"Pensacola",18.011,18.838,21.373
"70",2019-01-01,"Philadelphia",10.438,11.873,13.82
"71",2019-01-01,"Phoenix",17.568,20.51,22.224
"72",2019-01-01,"Pittsburgh",8.995,9.755,11.723
"73",2019-01-01,"PortlandME",6.737,7.971,10.672
"74",2019-01-01,"Raleigh",13.124,14.29,16.196
"75",2019-01-01,"RochesterNY",7.893,8.703,10.721
"76",2019-01-01,"Roswell",12.918,14.453,17.736
"77",2019-01-01,"Sacramento",15.478,16.775,18.838
"78",2019-01-01,"SaltLakeCity",8.893,10.152,13.437
"79",2019-01-01,"SanAntonio",17.88,18.796,20.877
"80",2019-01-01,"SaultSteMarie",4.598,5.889,9.15
"81",2019-01-01,"Savannah",16.628,17.793,21.001
"82",2019-01-01,"Seattle",11.226,12.263,14.71
"83",2019-01-01,"Shreveport",16.138,16.795,18.611
"84",2019-01-01,"SiouxFalls",5.742,6.857,8.731
"85",2019-01-01,"Spokane",7.858,8.552,10.448
"86",2019-01-01,"Springfield",9.319,10.171,11.901
"87",2019-01-01,"SpringfieldMO",11.095,11.845,13.673
"88",2019-01-01,"Tampa",20.933,22.489,25.563
"89",2019-01-01,"Topeka",9.794,11.04,12.621
"90",2019-01-01,"Valentine",6.861,8.049,10.445
"91",2019-01-01,"WashingtonDC",11.917,13.055,16.085
"92",2019-01-01,"Williston",4.244,4.855,6.021
"93",2019-01-01,"Winnemucca",8.335,8.952,11.316
"94",2019-01-02,"Abilene",15.285,15.818,17.493
"95",2019-01-02,"Albany",7.273,8.481,10.594
"96",2019-01-02,"Albuquerque",11.694,12.803,14.931
"97",2019-01-02,"Amarillo",12.041,12.788,13.831
"98",2019-01-02,"Atlanta",14.241,15.576,18.271
"99",2019-01-02,"Augusta",15.118,15.96,18.786
"100",2019-01-02,"Baltimore",10.747,11.546,13.596
"101",2019-01-02,"Bismarck",4.077,5.506,7.039
"102",2019-01-02,"Boise",9.168,10.299,12.636
"103",2019-01-02,"Boston",9.453,10.099,12.237
"104",2019-01-02,"CedarRapids",7.192,7.51,8.655
"105",2019-01-02,"Charlotte",13.694,14.239,16.938
"106",2019-01-02,"Chattanooga",13.078,14.511,17.16
"107",2019-01-02,"Cheyenne",7.454,8.067,10.057
"108",2019-01-02,"Chicago",8.796,8.747,10.726
"109",2019-01-02,"ColoradoSprings",8.601,9.551,11.703
"110",2019-01-02,"ColumbiaSC",15.018,16.021,19.111
"111",2019-01-02,"ColumbusOH",9.392,10.465,12.79
"112",2019-01-02,"Concord",6.824,7.581,10.304
"113",2019-01-02,"Concordia",9.475,10.17,11.732
"114",2019-01-02,"CorpusChristi",20.045,20.9,22.735
"115",2019-01-02,"DallasFortWorth",15.722,16.505,17.798
"116",2019-01-02,"Denver",9.002,9.391,9.936
"117",2019-01-02,"DesMoines",7.433,8.964,11.031
"118",2019-01-02,"Detroit",8.539,9.13,11.636
"119",2019-01-02,"DodgeCity",10.363,11.103,12.094
"120",2019-01-02,"Dubuque",6.445,7.132,8.367
"121",2019-01-02,"Duluth",3.287,4.601,7.155
"122",2019-01-02,"EauClaire",4.762,6.106,7.554
"123",2019-01-02,"Erie",8.383,9.249,11.948
"124",2019-01-02,"Eureka",13.259,13.566,14.453
"125",2019-01-02,"Evansville",10.824,11.7,13.336
"126",2019-01-02,"Fargo",3.811,5.134,6.718
"127",2019-01-02,"Flagstaff",7.503,8.515,10.451
"128",2019-01-02,"FortSmith",13.331,14.285,15.893
"129",2019-01-02,"Fresno",14.704,16.562,19.964
"130",2019-01-02,"GrandJunction",9.093,9.314,11.394
"131",2019-01-02,"GrandRapids",7.574,8.462,10.824
"132",2019-01-02,"GreenBay",5.513,6.801,9.479
"133",2019-01-02,"Havre",4.857,5.633,6.137
"134",2019-01-02,"Helena",5.707,7.193,9.408
"135",2019-01-02,"Houston",19.039,19.003,21.277
"136",2019-01-02,"Huron",5.295,6.437,7.487
"137",2019-01-02,"Indianapolis",9.307,10.27,12.302
"138",2019-01-02,"Jacksonville",18.967,18.896,21.292
"139",2019-01-02,"KansasCity",10.778,10.471,10.658
"140",2019-01-02,"LaCrosse",6.278,7.46,10.148
"141",2019-01-02,"Lander",6.374,6.929,8.565
"142",2019-01-02,"Lansing",7.669,8.277,11.37
"143",2019-01-02,"LosAngeles",18.717,19.518,20.664
"144",2019-01-02,"Louisville",11.199,12.605,14.915
"145",2019-01-02,"Lynchburg",11.666,11.96,13.94
"146",2019-01-02,"Madison",6.38,7.395,9.198
"147",2019-01-02,"Marquette",5.899,4.458,4.226
"148",2019-01-02,"Memphis",13.622,14.85,16.401
"149",2019-01-02,"Meridian",15.537,16.101,18.741
"150",2019-01-02,"MiddletownHarrisburg",9.917,10.594,12.649
"151",2019-01-02,"Milwaukee",6.903,8.249,10.429
"152",2019-01-02,"Minneapolis",5.429,7.027,9.533
"153",2019-01-02,"Mobile",17.582,18.177,21.294
"154",2019-01-02,"Moline",7.763,8.871,10.579
"155",2019-01-02,"Montgomery",15.917,16.729,19.055
"156",2019-01-02,"Nashville",12.675,13.571,15.636
"157",2019-01-02,"NewYork",10.774,11.509,13.159
"158",2019-01-02,"NorfolkVA",13.109,14.306,16.853
"159",2019-01-02,"NorthPlatte",7.457,8.272,9.329
"160",2019-01-02,"Oklahoma",12.665,13.628,14.051
"161",2019-01-02,"Omaha",8.251,8.997,10.079
"162",2019-01-02,"Pensacola",17.971,18.799,21.331
"163",2019-01-02,"Philadelphia",10.37,11.803,13.749
"164",2019-01-02,"Phoenix",17.522,20.464,22.176
"165",2019-01-02,"Pittsburgh",8.926,9.684,11.651
"166",2019-01-02,"PortlandME",6.668,7.901,10.603
"167",2019-01-02,"Raleigh",13.068,14.231,16.135
"168",2019-01-02,"RochesterNY",7.822,8.631,10.649
"169",2019-01-02,"Roswell",12.856,14.392,17.671
"170",2019-01-02,"Sacramento",15.435,16.732,18.791
"171",2019-01-02,"SaltLakeCity",8.817,10.073,13.357
"172",2019-01-02,"SanAntonio",17.836,18.753,20.831
"173",2019-01-02,"SaultSteMarie",4.528,5.817,9.079
"174",2019-01-02,"Savannah",16.584,17.749,20.954
"175",2019-01-02,"Seattle",11.186,12.222,14.665
"176",2019-01-02,"Shreveport",16.088,16.744,18.557
"177",2019-01-02,"SiouxFalls",5.652,6.772,8.642
"178",2019-01-02,"Spokane",7.792,8.485,10.378
"179",2019-01-02,"Springfield",9.242,10.096,11.821
"180",2019-01-02,"SpringfieldMO",11.026,11.777,13.599
"181",2019-01-02,"Tampa",20.906,22.463,25.535
"182",2019-01-02,"Topeka",9.716,10.965,12.541
"183",2019-01-02,"Valentine",6.779,7.969,10.36
"184",2019-01-02,"WashingtonDC",11.851,12.988,16.017
"185",2019-01-02,"Williston",4.154,4.769,5.932
"186",2019-01-02,"Winnemucca",8.269,8.883,11.245
"187",2019-01-03,"Abilene",15.231,15.765,17.436
"188",2019-01-03,"Albany",7.199,8.408,10.521
"189",2019-01-03,"Albuquerque",11.63,12.741,14.865
"190",2019-01-03,"Amarillo",11.977,12.726,13.765
"191",2019-01-03,"Atlanta",14.19,15.524,18.216
"192",2019-01-03,"Augusta",15.069,15.912,18.735
"193",2019-01-03,"Baltimore",10.682,11.481,13.529
"194",2019-01-03,"Bismarck",3.987,5.421,6.955
"195",2019-01-03,"Boise",9.1,10.228,12.561
"196",2019-01-03,"Boston",9.387,10.033,12.17
"197",2019-01-03,"CedarRapids",7.11,7.431,8.573
"198",2019-01-03,"Charlotte",13.64,14.184,16.881
"199",2019-01-03,"Chattanooga",13.021,14.454,17.099
"200",2019-01-03,"Cheyenne",7.39,8.003,9.99
"201",2019-01-03,"Chicago",8.72,8.671,10.648
"202",2019-01-03,"ColoradoSprings",8.537,9.488,11.634
"203",2019-01-03,"ColumbiaSC",14.967,15.97,19.058
"204",2019-01-03,"ColumbusOH",9.323,10.395,12.717
"205",2019-01-03,"Concord",6.752,7.509,10.231
"206",2019-01-03,"Concordia",9.397,10.095,11.65
"207",2019-01-03,"CorpusChristi",20.012,20.867,22.702
"208",2019-01-03,"DallasFortWorth",15.669,16.453,17.742
"209",2019-01-03,"Denver",8.936,9.322,9.865
"210",2019-01-03,"DesMoines",7.349,8.884,10.946
"211",2019-01-03,"Detroit",8.468,9.056,11.562
"212",2019-01-03,"DodgeCity",10.289,11.032,12.019
"213",2019-01-03,"Dubuque",6.365,7.053,8.285
"214",2019-01-03,"Duluth",3.208,4.523,7.077
"215",2019-01-03,"EauClaire",4.676,6.024,7.468
"216",2019-01-03,"Erie",8.316,9.18,11.879
"217",2019-01-03,"Eureka",13.243,13.547,14.432
"218",2019-01-03,"Evansville",10.757,11.633,13.265
"219",2019-01-03,"Fargo",3.718,5.047,6.629
"220",2019-01-03,"Flagstaff",7.446,8.459,10.393
"221",2019-01-03,"FortSmith",13.27,14.225,15.828
"222",2019-01-03,"Fresno",14.655,16.513,19.912
"223",2019-01-03,"GrandJunction",9.014,9.235,11.315
"224",2019-01-03,"GrandRapids",7.502,8.39,10.751
"225",2019-01-03,"GreenBay",5.434,6.724,9.401
"226",2019-01-03,"Havre",4.771,5.553,6.056
"227",2019-01-03,"Helena",5.633,7.119,9.33
"228",2019-01-03,"Houston",19.002,18.963,21.236
"229",2019-01-03,"Huron",5.204,6.351,7.398
"230",2019-01-03,"Indianapolis",9.236,10.197,12.227
"231",2019-01-03,"Jacksonville",18.932,18.86,21.253
"232",2019-01-03,"KansasCity",10.703,10.398,10.578
"233",2019-01-03,"LaCrosse",6.194,7.377,10.063
"234",2019-01-03,"Lander",6.3,6.855,8.485
"235",2019-01-03,"Lansing",7.598,8.205,11.297
"236",2019-01-03,"LosAngeles",18.691,19.494,20.638
"237",2019-01-03,"Louisville",11.134,12.537,14.845
"238",2019-01-03,"Lynchburg",11.606,11.9,13.877
"239",2019-01-03,"Madison",6.301,7.317,9.119
"240",2019-01-03,"Marquette",5.831,4.385,4.154
"241",2019-01-03,"Memphis",13.564,14.792,16.338
"242",2019-01-03,"Meridian",15.488,16.053,18.689
"243",2019-01-03,"MiddletownHarrisburg",9.849,10.524,12.578
"244",2019-01-03,"Milwaukee",6.829,8.175,10.354
"245",2019-01-03,"Minneapolis",5.341,6.941,9.447
"246",2019-01-03,"Mobile",17.541,18.137,21.252
"247",2019-01-03,"Moline",7.682,8.793,10.497
"248",2019-01-03,"Montgomery",15.87,16.681,19.005
"249",2019-01-03,"Nashville",12.614,13.511,15.571
"250",2019-01-03,"NewYork",10.707,11.443,13.092
"251",2019-01-03,"NorfolkVA",13.053,14.249,16.795
"252",2019-01-03,"NorthPlatte",7.38,8.197,9.249
"253",2019-01-03,"Oklahoma",12.6,13.566,13.984
"254",2019-01-03,"Omaha",8.167,8.917,9.995
"255",2019-01-03,"Pensacola",17.932,18.76,21.291
"256",2019-01-03,"Philadelphia",10.304,11.735,13.68
"257",2019-01-03,"Phoenix",17.479,20.421,22.131
"258",2019-01-03,"Pittsburgh",8.859,9.616,11.581
"259",2019-01-03,"PortlandME",6.599,7.832,10.535
"260",2019-01-03,"Raleigh",13.013,14.175,16.076
"261",2019-01-03,"RochesterNY",7.752,8.561,10.579
"262",2019-01-03,"Roswell",12.796,14.333,17.609
"263",2019-01-03,"Sacramento",15.392,16.69,18.745
"264",2019-01-03,"SaltLakeCity",8.744,9.996,13.28
